"問題文","選択肢1","選択肢2","選択肢3","選択肢4","選択肢5","正解","科目分類"
"68歳の男性。咀嚼困難を主訴として来院した。使用中の義歯は10年前に製作し、破折による修理を繰り返したという。上顎前歯部ブリッジの再製作も希望している。診察の結果、④③2①⏊①②ブリッジと7-5⏊3-7の可撤性義歯を製作することとした。現在装着している義歯とプロビジョナルレストレーションを撤去した状態の口腔内写真(A)と製作中のブリッジの写真(B)を示す。この後に行う治療・製作過程を示す。④に入るのはどれか。1つ選べ。ただし、①〜⑤はa〜eのいずれかに該当する。[117C30-ori]","義歯の装着","ブリッジの試適","ブリッジの装着","義歯の重合•研磨","義歯の精密印象採得","c","冠橋義歯学"
"輸血について正しいのはどれか。1つ選べ。[117C31-ori]","血小板濃厚液はHb上昇が期待できる。","新鮮凍結血漿は感染を避けることができる。","赤血球液の有効期間は採血後1年間である。","自己血輸血はGVHDを防止することができる。","赤血球輸血は不規則抗体のスクリーニングを省略できる。","d","口腔外科学"
"線維芽細胞が産生するのはどれか。3つ選べ。[117C32-ori]","メラニン","エラスチン","セロトニン","ヒアルロン酸","I型コラーゲン","245","生化学"
"高齢者において低血糖を起こしやすい薬物はどれか。1つ選べ。[117C33-ori]","ビグアナイド薬","プレドニゾロン","スルホニル尿素薬","ニトログリセリン","ワルファリンカリウム","c","薬理学"
"赤血球の破壊によって生じるのはどれか。2つ選べ。[117C34-ori]","メラニン","ビリルビン","ヘモジデリン","リポフスチン","プロスタグランジン","23","生化学"
"ポリファーマシーの予防に役立つのはどれか。3つ選べ。[117C35-ori]","お薬手帳","薬の一包化","診療情報提供書","服薬カレンダー","薬剤師との連携","135","薬理学"
"67歳の男性。ポーセレンラミネートベニアが破折したことを主訴として来院した。初診時の口腔内写真(A)、窩洞形成時の口腔内写真(B)及びコンポジットレジンを用いて補修修復を行った後の口腔内写真(C)を示す。接着性を向上させるために行うべき手技で適切なのはどれか。3つ選べ。[117C36-ori]","リン酸エッチング","サンドブラスト処理","レジンコーティング","硫黄系機能性モノマー塗布","シランカップリング材塗布","125","保存修復学"
"82歳の男性。上顎全部床義歯の脱落を主訴として来院した。診察の結果、義歯を製作することとした。個人トレー製作時に研究用模型で前歯部顎堤をパラフィンワックスでリリーフし、ある操作(丸印で示す部位)を行った。初診時の口腔内写真 (A)、触診時の口腔内写真(B)、個人トレーの写真(C)及び精密印象の写真(D)を示す。この印象法はどれか。1つ選べ。[117C37-ori]","加圧印象","咬座印象","咬合圧印象","選択的加圧印象","ダイナミック印象","d","全部床義歯学"
"7歳の男児。下の前歯が生えてこないことを主訴として来院した。食事で困っていることはないが、いつ生えてくるか知りたいという。初診時の口腔内写真(A)とエックス線画像(B)を示す。現時点で確認できる永久歯数(本)はどれか。1つ選べ。[117C38-ori]","6","13","17","19","23","d","小児歯科学"
"予防接種法に基づいて0歳児に定期接種されるワクチンはどれか。1つ選べ。[117C39-ori]","黄熱","狂犬病","B型肝炎","帯状疱疹","流行性耳下腺炎","c","口腔衛生学"
"完成した上顎ブリッジの口腔内試適後の写真(A)と口腔内装着後の写真(B)を示す。 患者への口腔清掃指導で正しいのはどれか。1つ選べ。[117C40-ori]","「歯磨剤は使わないでください」","「歯間ブラシを使用してください」","「右上を浮かせて清掃してください」","「右上を取りはずして清掃してください」","「白い部分に歯ブラシをあてないでください」","b","冠橋義歯学"
"加齢に伴い根面嬲蝕のリスクが高くなる理由はどれか。2つ選べ。[117C41-ori]","歯肉の退縮","歯髄腔の狭小化","睡液腺の脂肪化","味覚闇値の上昇","セメント質の肥厚","13","解剖学"
"歯周組織再生療法でGTR膜の所要条件はどれか。3つ選べ。[117C42-ori]","骨形成能","細胞遮断性","生体親和性","幹細胞の増殖促進","歯肉線維との結合","235","歯周病学"
"過度の糖質制限で血中に増加するのはどれか。1つ選べ。[117C43-ori]","尿酸","ケトン体","アルブミン","ビリルビン","コレステロール","b","生化学"
"修復前後の口腔内写真(A、B)を示す。この処置で必要な器具はどれか。1つ選べ。[117C44-ori]","ガムリトラクター","クラウンフォーム","リング状リテーナー","サービカルマトリックス","Ivoryのシンプルセパレーター","c","保存修復学"
"10歳の女児。下顎右側第一小臼歯の位置異常を主訴として来院した。飽蝕治療を始める際に撮影したエックス線画像で指摘されたという。自覚症状はない。診察の結果、D⏋を抜歯してバンドループを装着することとした。初診時の口腔内写真 (A)とエックス線画像(B)を示す。装置装着までの治療過程を示す。③に入るのはどれか。1つ選べ。ただし、①～⑤はa〜eのいずれかに該当する。[117C45-ori]","抜歯","印象採得","バンド試適","ラバーダム撤去","コンポジットレジン修復","c","小児歯科学"
"85歳の男性。口蓋粘膜の疼痛を主訴として来院した。8年前から上顎全部床義歯を使用しているという。来院時の口腔内写真(A)、義歯の写真(B)及び適合試験後の義歯の写真(C)を示す。まず行うべき対応はどれか。2つ選べ。[117C46-ori]","培養検査","抗菌薬の投与","義歯の清掃指導","ティッシュコンディショニング","副腎皮質ステロイド軟膏の塗布","13","全部床義歯学"
"従来型グラスアイオノマーセメント修復の処置内容と目的の組合せで正しいのはどれか。2つ選べ。[117C47-ori]","リン酸処理 ------------ 歯質接着性向上","バーニッシュの塗布 ----- 感水防止","ラウンドベベルの付与 ----- 辺縁厚み確保","リバースカーブの付与 ----- 予防拡大","カプセルタイプの使用 ----- 気泡混入低減","25","保存修復学"
"側貌の模式図を示す。側貌型の判定に用いる点はどれか。3つ選べ。[117C48-ori]","ア","イ","ウ","エ","オ","145","歯科矯正学"
"下顎右側中切歯の自発痛と歯肉の腫脹で来院した患者の口腔内写真(A)とエックス線画像(B)を示す。プロービング深さは遠心唇側で5mmであった。適切な対応はどれか。1つ選べ。[117C49-ori]","PMTC","歯肉切除","新付着術","歯周ポケット掻爬術","局所薬物配送システム<LDDS>","e","歯周病学"
"40歳の男性。上顎右側第一小臼歯のクラウン脱離による咀嚼困難を主訴として来院した。診察の結果、咬合様式はグループファンクションであり、ジルコニアクラウンを製作することとした。完成したクラウンの口腔内試適で隣接面接触、辺縁適合性は共に良好であった。咬合検査後の口腔内写真を示す。次に行うのはどれか。1つ選べ。[117C50-ori]","クラウンの装着","クラウンの再製作","頰側咬頭の咬合調整","口蓋側咬頭の咬合調整","辺縁隆線部の咬合調整","c","冠橋義歯学"
"上顎右側中切歯の色調改善のために、クラウンによる補綴処置を行うこととし た。初診時の口腔内写真(A)、作業用模型上のクラウンの写真(B)及びクラウン装着後の口腔内写真(C)を示す。矢印の部分が最も関係するのはどれか。1つ選べ。[117C51-ori]","機能的要件","審美的要件","力学的要件","材料学的要件","生物学的要件","e","冠橋義歯学"
"頰筋を支配する運動神経が通過するのはどれか。1つ選べ。[117C52-ori]","口蓋骨","後頭骨","上顎骨","側頭骨","蝶形骨","d","解剖学"
"4歳の男児。前歯の変色を主訴として来院した。1年前に室内で転倒して前歯部を打撲し、上顎右側乳中切歯は完全脱落したが、そのままにしていたという。2歳ころから親指を口に入れる癖があるという。Aの動揺度は1度である。初診時の 口腔内写真(A)とエックス線画像(B)を示す。保護者への説明で適切なのはどれか。3つ選べ。[117C53-ori]","「左上の前歯は根の治療が必要です」","「前歯に固定式の装置を入れましょう」","「指しゃぶりはやめた方が良いでしょう」","「すぐ永久歯が生えてくるので心配いりません」","「永久歯の前歯には変色がみられるかもしれません」","135","小児歯科学"
"適合試験前後の義歯床粘膜面の写真を示す。調整が必要な部位はどれか。3つ選べ。[117C54-ori]","ア","イ","ウ","エ","オ","125","全部床義歯学"
"76歳の女性。上顎前歯部のブラッシング時の出血を主訴として家族と来院した。 半年前から気付いていたが痛みがないためそのままにしていたという。2年前に Alzheimer型認知症と診断され近医を受診しているという。2週前に受診した際の検査結果は、認知症高齢者の日常生活自立度でⅡbであった。歯周組織検査の結果、慢性歯周炎と診断し、歯周基本治療を行った。歯周基本治療後の再評価時の口腔内写真(A)とエックス線画像(B)を示す。歯周基本治療後の再評価結果の一部を表に示す。適切な対応はどれか。3つ選べ。[117C55-ori]","PTC","フラップ手術","FGF-2製剤の応用","同居家族への口腔清掃指導","スケーリング・ルートプレーニング","145","歯周病学"
"後期高齢者医療制度を規定しているのはどれか。1つ選べ。[117C56-ori]","医療法","介護保険法","老人福祉法","国民健康保険法","高齢者の医療の確保に関する法律","e","公衆衛生学"
